Transaction Number,Transaction Date,Transaction Type,Transaction sub type,Registration type,Is Free Hold?,Usage,Area,Property Type,Property Sub Type,Amount,Transaction Size (sq.m),Property Size (sq.m),Room(s),Parking,Nearest Metro,Nearest Mall,Nearest Landmark,No. of Buyer,No. of Seller,Master Project,Project
"102-12105-2024","2024-03-05 08:56:22","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","3549000","240","240","4 B/R","","","","","1","1","","Mudon Al Ranim 7"
"102-12111-2024","2024-03-05 09:13:15","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2541000","168.59","168.59","3 B/R","","","","","2","1","","Mudon Al Ranim 7"
"102-12116-2024","2024-03-05 08:53:58","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2498000","168","168","3 B/R","","","","","1","1","","Mudon Al Ranim 7"
"102-12118-2024","2024-03-05 08:58:39","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","3554000","242.4","242.4","4 B/R","","","","","2","1","","Mudon Al Ranim 7"
"102-12124-2024","2024-03-05 09:05:47","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","3068000","172.43","172.43","3 B/R","","","","","1","1","","Mudon Al Ranim 7"
"102-12125-2024","2024-03-05 09:09:31","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2545000","168","168","3 B/R","","","","","1","1","","Mudon Al Ranim 7"
"102-12130-2024","2024-03-05 09:14:36","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2574000","181.69","181.69","3 B/R","","","","","1","1","","Mudon Al Ranim 7"
"102-12132-2024","2024-03-05 09:15:17","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2509000","168","168","3 B/R","","","","","1","1","","Mudon Al Ranim 7"
"102-12133-2024","2024-03-05 09:08:52","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","3108000","239.98","239.98","4 B/R","","","","","2","1","","Mudon Al Ranim 7"
"102-12135-2024","2024-03-05 08:57:59","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2498000","168.26","168.26","3 B/R","","","","","1","1","","Mudon Al Ranim 7"
"102-12137-2024","2024-03-05 09:27:56","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2500000","171.83","171.83","3 B/R","","","","","1","1","","Mudon Al Ranim 7"
"102-12138-2024","2024-03-05 09:22:42","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2502000","170.34","170.34","3 B/R","","","","","2","1","","Mudon Al Ranim 7"
"102-12140-2024","2024-03-05 09:17:50","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2491000","168","168","3 B/R","","","","","1","1","","Mudon Al Ranim 7"
"102-12141-2024","2024-03-05 09:36:55","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2557000","173.76","173.76","3 B/R","","","","","1","1","","Mudon Al Ranim 7"
"102-12142-2024","2024-03-05 09:20:23","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2978000","240","240","4 B/R","","","","","1","1","","Mudon Al Ranim 7"
"102-12148-2024","2024-03-05 09:21:32","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2491000","168","168","3 B/R","","","","","1","1","","Mudon Al Ranim 7"
"102-12153-2024","2024-03-05 09:34:52","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","3563000","278.75","278.75","4 B/R","","","","","1","1","","Mudon Al Ranim 7"
"102-12174-2024","2024-03-05 09:41:42","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2563000","179.8","179.8","3 B/R","","","","","2","1","","Mudon Al Ranim 7"
"102-12176-2024","2024-03-05 09:32:30","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","3070000","288.7","288.7","4 B/R","","","","","2","1","","Mudon Al Ranim 7"
"102-12180-2024","2024-03-05 09:46:35","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2512000","169.62","169.62","3 B/R","","","","","1","1","","Mudon Al Ranim 7"
"102-12183-2024","2024-03-05 08:47:03","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","3230000","298.73","298.73","4 B/R","","","","","1","1","","Mudon Al Ranim 7"
"102-12209-2024","2024-03-05 10:07:57","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","3108000","240.34","240.34","4 B/R","","","","","2","1","","Mudon Al Ranim 7"
