Transaction Number,Transaction Date,Transaction Type,Transaction sub type,Registration type,Is Free Hold?,Usage,Area,Property Type,Property Sub Type,Amount,Transaction Size (sq.m),Property Size (sq.m),Room(s),Parking,Nearest Metro,Nearest Mall,Nearest Landmark,No. of Buyer,No. of Seller,Master Project,Project
"102-1047-2024","2024-01-16 13:38:54","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","TOWN SQUARE","Unit","Flat","1102888","89.37","89.37","2 B/R","1","","","Dubai Cycling Course","2","1","","Symphony"
"102-1068-2024","2024-01-16 12:02:14","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 4","Building","Villa","3000000","281.61","281.61","3 B/R","","","","","2","1","","California Village"
"102-1148-2024","2024-01-16 12:15:54","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 4","Building","Villa","2490000","232.65","232.65","3 B/R","","","","","1","1","","California Village"
"102-1303-2024","2024-01-16 10:48:41","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","7769639","267.93","267.93","3 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","City Center Residences"
"102-1304-2024","2024-01-16 10:49:32","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","3185956","97.94","97.94","2 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","City Center Residences"
"102-1332-2024","2024-01-16 10:47:30","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","3187570","98.59","98.59","2 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","City Center Residences"
"102-1334-2024","2024-01-16 10:49:39","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","3457338","108.83","108.83","2 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","City Center Residences"
"102-1335-2024","2024-01-16 10:48:32","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","11417700","343.25","343.25","4 B/R","2","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","City Center Residences"
"102-1336-2024","2024-01-16 10:47:38","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","22000000","726.6","726.6","5 B/R","2","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","2","1","","City Center Residences"
"102-1394-2024","2024-01-16 12:16:00","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 4","Building","Villa","2800000","232.66","232.66","3 B/R","","","","","2","1","","California Village"
"102-1395-2024","2024-01-16 12:01:29","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 4","Building","Villa","2700000","281.63","281.63","3 B/R","","","","","1","1","","California Village"
"102-1564-2024","2024-01-15 15:25:04","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","6644000","187.27","187.27","3 B/R","2","","","","1","1","","Bluewaters Bay "
"102-1631-2024","2024-01-16 10:49:26","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","2338130","72.14","72.14","1 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","City Center Residences"
"102-1664-2024","2024-01-16 12:02:06","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 4","Building","Villa","3625000","281.63","281.63","3 B/R","","","","","1","1","","California Village"
"102-1884-2024","2024-01-16 13:34:47","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","589600","58.26","58.26","1 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","1","1","","Empire Residence"
"102-1959-2024","2024-01-15 16:04:53","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI MARINA","Unit","Hotel Rooms","3510000","93.09","93.09","1 B/R","EU","Mina Seyahi","Marina Mall","Burj Al Arab","1","1","","Ciel"
"102-1973-2024","2024-01-16 12:01:50","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 4","Building","Villa","2450000","232.65","232.65","3 B/R","","","","","2","1","","California Village"
"102-1981-2024","2024-01-16 11:57:16","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","3141248","109.9","109.9","2 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","City Center Residences"
"102-2117-2024","2024-01-16 01:32:26","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Flat","1539828","86.54","86.54","1 B/R","1","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","1","1","","UH WEST BY ELLINGTON"
"102-2118-2024","2024-01-16 01:39:01","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Dubai Almelaheyah","Unit","Flat","1636888","75.65","75.65","1 B/R","1","","","","2","1","","Avonlea"
"102-2249-2024","2024-01-16 14:20:22","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","PALM JUMEIRAH","Unit","Flat","10094000","184.12","184.12","2 B/R","2","Jumeirah Beach Resdency","Marina Mall","Burj Al Arab","2","1","Palace Beach Residence","Six Senses Residences The Palm, Dubai"
"102-2273-2024","2024-01-16 08:44:29","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Um Suqaim Third","Unit","Flat","5892000","203.22","203.22","3 B/R","2","","","","1","1","","Jomana"
"102-2309-2024","2024-01-16 08:53:40","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI CREEK HARBOUR","Unit","Flat","2219848","100.11","100.11","2 B/R","1","Creek Metro Station","City Centre Mirdif","Dubai International Airport","1","1","","Island Park II "
"102-2313-2024","2024-01-15 15:19:02","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Flat","2234237","110.74","110.74","2 B/R","1","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","1","1","","UH WEST BY ELLINGTON"
