Transaction Number,Transaction Date,Transaction Type,Transaction sub type,Registration type,Is Free Hold?,Usage,Area,Property Type,Property Sub Type,Amount,Transaction Size (sq.m),Property Size (sq.m),Room(s),Parking,Nearest Metro,Nearest Mall,Nearest Landmark,No. of Buyer,No. of Seller,Master Project,Project
"102-10184-2024","2024-02-22 21:10:22","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1023222","66.46","66.46","1 B/R","1","Dubai Internet City","Marina Mall","Sports City Swimming Academy","2","1","","THE HAVEN GARDEN"
"102-10198-2024","2024-02-22 21:11:06","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1134222","78.36","78.36","1 B/R","1","Dubai Internet City","Marina Mall","Sports City Swimming Academy","1","1","","THE HAVEN GARDEN"
"102-10214-2024","2024-02-22 21:10:43","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","946354.5","63.29","63.29","1 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","2","1","","LILIUM TOWER"
"102-10232-2024","2024-02-22 21:10:40","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1578491","77.15","77.15","1 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","NOBLES"
"102-10234-2024","2024-02-22 21:11:08","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","950588.1","64.45","64.45","1 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","LILIUM TOWER"
"102-10235-2024","2024-02-22 21:10:35","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","987160.5","63.43","63.43","1 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","LILIUM TOWER"
"102-10573-2024","2024-02-22 21:11:12","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI MARITIME CITY","Unit","Flat","3582602.36","197.17","197.17","3 B/R","2","Al Ghubaiba Metro Station","Dubai Mall","Burj Khalifa","1","1","","MAR CASA"
"102-10592-2024","2024-02-22 21:11:16","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI MARITIME CITY","Unit","Flat","1418635.43","71.34","71.34","1 B/R","1","Al Ghubaiba Metro Station","Dubai Mall","Burj Khalifa","1","1","","MAR CASA"
"102-10924-2024","2024-02-23 10:43:27","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yelayiss 2","Building","Villa","2000000","176.9","176.9","3 B/R","","","","","1","1","","MAHA TOWNHOUSES "
"102-10934-2024","2024-02-23 10:14:43","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Um Suqaim Third","Unit","Flat","4750000","170.65","170.65","3 B/R","2","","","","1","1","","Lamaa"
"102-10940-2024","2024-02-22 15:15:28","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","1100000","93.8","93.8","2 B/R","1","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","1","1","","SKYZ By Danube"
"102-10942-2024","2024-02-22 15:15:32","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI SPORTS CITY","Unit","Flat","626772","91.69","91.69","1 B/R","","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","1","2","","AMAL TOWER"
"102-10943-2024","2024-02-22 15:19:03","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","SOBHA HEARTLAND","Unit","Flat","1850000","112.13","112.13","2 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Sobha Creek Vistas Grande"
"102-10944-2024","2024-02-23 08:47:15","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Um Suqaim Third","Unit","Flat","3200000","119.67","119.67","2 B/R","1","","","","1","1","","Lamaa"
"102-10945-2024","2024-02-22 15:23:03","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","795340","61.87","61.87","1 B/R","1","Dubai Internet City","Marina Mall","Sports City Swimming Academy","1","1","","LEVANTO BY ORO24"
