Transaction Number,Transaction Date,Transaction Type,Transaction sub type,Registration type,Is Free Hold?,Usage,Area,Property Type,Property Sub Type,Amount,Transaction Size (sq.m),Property Size (sq.m),Room(s),Parking,Nearest Metro,Nearest Mall,Nearest Landmark,No. of Buyer,No. of Seller,Master Project,Project
"102-51443-2023","2023-12-08 09:34:11","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","THE FIELD","Building","Villa","4148777","288.01","288.01","4 B/R","","","","IMG World Adventures","1","1","","THE FIELDS AT D11 - MBRMC"
"102-64847-2023","2023-12-08 09:17:43","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1000000","43.46","43.46","Studio","1","","","","1","1","","CANAL HEIGHTS"
"102-64857-2023","2023-12-07 15:17:07","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","AL FURJAN","Unit","Flat","560000","41.41","41.41","Studio","1","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Sports City Swimming Academy","1","1","","Westwood By Imtiaz"
"102-64863-2023","2023-12-08 08:53:34","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI HARBOUR","Unit","Flat","3505000","125.24","125.24","2 B/R","1","","","","1","1","","Grand Bleu Tower interiors by Elie Saab"
"102-64864-2023","2023-12-07 15:40:17","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI HARBOUR","Unit","Flat","2262000","73.96","73.96","1 B/R","1","","","","1","1","","Grand Bleu Tower interiors by Elie Saab"
"102-64868-2023","2023-12-07 15:24:32","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MBR DISTRICT 1","Unit","Flat","2500000","110.59","110.59","2 B/R","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 13"
"102-64870-2023","2023-12-08 09:11:31","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","492760","39.27","39.27","Studio","1","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","1","1","","Jewelz Residence"
"102-64871-2023","2023-12-08 08:40:06","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MBR DISTRICT 7","Unit","Flat","605000","39.85","39.85","Studio","1","Noor Bank Metro Station","Dubai Mall","Downtown Dubai","1","1","","MAG EYE Phase 1"
"102-64874-2023","2023-12-07 15:29:19","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","724667","77.38","77.38","1 B/R","1","","","IMG World Adventures","1","1","","AG 7EVEN"
"102-64877-2023","2023-12-08 10:40:15","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","1084932.42","80.86","80.86","1 B/R","1","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","1","1","","SAMANA SKYROS"
"102-64878-2023","2023-12-08 11:32:52","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Hotel Apartment","527330.06","41.64","41.64","Studio","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","1","1","","Dusit Princess Rijas"
"102-64879-2023","2023-12-08 11:32:14","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Hotel Apartment","697406.81","53.57","53.57","Studio","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","2","1","","Dusit Princess Rijas"
"102-65159-2023","2023-12-08 11:03:09","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI HILLS","Unit","Flat","1492108","71.11","71.11","2 B/R","1","Noor Bank Metro Station","Mall of the Emirates","IMG World Adventures","1","1","","Golf ville"
"102-65160-2023","2023-12-08 09:07:09","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI HARBOUR","Unit","Flat","10250000","185.45","185.45","3 B/R","2","","","","1","1","","Beachgate by Address"
"102-65161-2023","2023-12-08 09:49:54","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI HARBOUR","Unit","Flat","1908762","68.8","68.8","1 B/R","1","","","","1","1","","Palace Beach Residence"
"102-65162-2023","2023-12-08 10:03:25","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI HILLS","Unit","Flat","1570000","73.39","73.39","1 B/R","1","Noor Bank Metro Station","Mall of the Emirates","IMG World Adventures","2","1","","ELLINGTON HOUSE "
"102-65163-2023","2023-12-08 10:12:53","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","465000","39.27","39.27","Studio","1","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","1","1","","Jewelz Residence"
"102-65164-2023","2023-12-08 11:11:21","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Um Suqaim Third","Unit","Flat","1750000","68.48","68.48","1 B/R","1","","","","2","1","","Al Jazi - Madinat Jumeriah Living "
"102-65165-2023","2023-12-08 10:59:04","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Warsan First","Unit","Flat","340000","33.81","33.81","Studio","1","Rashidiya Metro Station","City Centre Mirdif","Dubai International Airport","2","1","","Olivz Residence"
"102-65166-2023","2023-12-08 10:34:42","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI CREEK HARBOUR","Unit","Flat","2250000","99.41","99.41","2 B/R","1","Creek Metro Station","City Centre Mirdif","Dubai International Airport","2","1","","Island Park II "
"102-65167-2023","2023-12-08 11:13:40","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MEYDAN ONE","Unit","Flat","545000","32.65","32.65","Studio","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Azizi Riviera 20"
"102-65169-2023","2023-12-08 11:10:53","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MEYDAN ONE","Unit","Flat","420000","27.49","27.49","Studio","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Azizi Riviera 16"
"102-65172-2023","2023-12-08 11:41:02","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","SOBHA HEARTLAND","Unit","Flat","1450000","72.41","72.41","1 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","2","","Sobha Creek Vistas Grande"
"102-65175-2023","2023-12-08 11:33:46","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MEYDAN ONE","Unit","Flat","635000","31.16","31.16","Studio","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Azizi Riviera 23"
"102-65178-2023","2023-12-08 11:27:20","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI HARBOUR","Unit","Flat","2550000","77.8","77.8","1 B/R","1","","","","2","1","","Grand Bleu Tower interiors by Elie Saab"
"102-65181-2023","2023-12-08 11:20:47","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","PALM JUMEIRAH","Unit","Flat","20800000","497.69","497.69","4 B/R","2","Al Sufouh","Mall of the Emirates","Burj Al Arab","1","1","","One Crescent"
