Transaction Number,Transaction Date,Transaction Type,Transaction sub type,Registration type,Is Free Hold?,Usage,Area,Property Type,Property Sub Type,Amount,Transaction Size (sq.m),Property Size (sq.m),Room(s),Parking,Nearest Metro,Nearest Mall,Nearest Landmark,No. of Buyer,No. of Seller,Master Project,Project
"102-7683-2024","2024-02-12 21:02:05","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","857319","62.11","62.11","1 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","LILIUM TOWER"
"102-7684-2024","2024-02-12 21:02:11","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","847645.1","86.28","86.28","1 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","1","1","","NEVA RESIDENCES"
"102-7880-2024","2024-02-13 13:33:04","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","3379000","168","168","3 B/R","","","","","1","1","","Mudon Al Ranim 7"
"102-7881-2024","2024-02-13 13:36:50","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","3189000","168","168","3 B/R","","","","","1","1","","Mudon Al Ranim 7"
"102-8192-2024","2024-02-13 13:39:58","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","3364000","353.66","353.66","4 B/R","","","","","1","1","","Mudon Al Ranim 7"
"102-8193-2024","2024-02-13 13:42:22","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2549000","170.08","170.08","3 B/R","","","","","1","1","","Mudon Al Ranim 7"
"102-8194-2024","2024-02-13 13:38:03","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2605000","168.12","168.12","3 B/R","","","","","1","1","","Mudon Al Ranim 7"
"102-8195-2024","2024-02-13 13:31:52","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","3371000","243.08","243.08","4 B/R","","","","","1","1","","Mudon Al Ranim 7"
"102-8197-2024","2024-02-13 14:04:38","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2606000","168.62","168.62","3 B/R","","","","","1","1","","Mudon Al Ranim 7"
"102-8199-2024","2024-02-13 13:12:25","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2578000","168.82","168.82","3 B/R","","","","","1","1","","Mudon Al Ranim 7"
"102-8210-2024","2024-02-13 13:20:22","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","3449000","240","240","4 B/R","","","","","1","1","","Mudon Al Ranim 7"
"102-8211-2024","2024-02-13 13:34:28","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2761000","168.01","168.01","3 B/R","","","","","2","1","","Mudon Al Ranim 7"
"102-8212-2024","2024-02-13 13:09:10","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2503000","173.4","173.4","3 B/R","","","","","1","1","","Mudon Al Ranim 7"
"102-8214-2024","2024-02-13 13:07:23","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","3371000","361.6","361.6","4 B/R","","","","","2","1","","Mudon Al Ranim 7"
"102-8215-2024","2024-02-13 13:35:39","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","3189000","168","168","3 B/R","","","","","1","1","","Mudon Al Ranim 7"
"102-8216-2024","2024-02-13 13:41:13","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2540000","168.14","168.14","3 B/R","","","","","1","1","","Mudon Al Ranim 7"
"102-8217-2024","2024-02-13 15:13:11","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2510000","168.89","168.89","3 B/R","","","","","2","1","","Mudon Al Ranim 7"
"102-8219-2024","2024-02-13 14:53:20","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","3380000","168","168","3 B/R","","","","","1","1","","Mudon Al Ranim 8"
"102-8220-2024","2024-02-13 14:52:03","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","3151000","240","240","4 B/R","","","","","1","1","","Mudon Al Ranim 8"
"102-8222-2024","2024-02-13 13:10:23","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2501000","172.13","172.13","3 B/R","","","","","1","1","","Mudon Al Ranim 7"
"102-8224-2024","2024-02-12 19:10:08","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","1032920","63.72","63.72","1 B/R","1","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","1","1","","Vincitore Dolce Vita"
"102-8225-2024","2024-02-13 13:15:01","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2599000","168","168","3 B/R","","","","","1","1","","Mudon Al Ranim 7"
"102-8244-2024","2024-02-13 08:43:59","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Flat","570000","35.83","35.83","Studio","1","Damac Properties","Marina Mall","Burj Al Arab","1","1","","SEVEN CITY JLT"
"102-8248-2024","2024-02-12 19:10:04","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","676200","40.7","40.7","Studio","1  0","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","2","1","","Vincitore Dolce Vita"
"102-8518-2024","2024-02-12 21:02:00","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1120222","73.56","73.56","1 B/R","1","Dubai Internet City","Marina Mall","Sports City Swimming Academy","1","1","","THE HAVEN GARDEN"
"102-8521-2024","2024-02-13 14:57:21","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","3222000","240","240","4 B/R","","","","","1","1","","Mudon Al Ranim 8"
"102-8523-2024","2024-02-13 14:54:30","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2761000","168.19","168.19","3 B/R","","","","","1","1","","Mudon Al Ranim 8"
"102-8524-2024","2024-02-13 15:01:11","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2641000","168","168","3 B/R","","","","","1","1","","Mudon Al Ranim 8"
"102-8525-2024","2024-02-13 15:00:02","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2641000","168","168","3 B/R","","","","","1","1","","Mudon Al Ranim 8"
"102-8526-2024","2024-02-13 14:58:52","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2700000","168","168","3 B/R","","","","","1","1","","Mudon Al Ranim 8"
"102-8527-2024","2024-02-13 14:55:57","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","3836000","251.59","251.59","4 B/R","","","","","1","1","","Mudon Al Ranim 8"
"102-8528-2024","2024-02-12 19:10:20","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","598780","33.91","33.91","Studio","1","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","1","1","","Vincitore Dolce Vita"
"102-8538-2024","2024-02-13 15:08:36","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2737000","168","168","3 B/R","","","","","1","1","","Mudon Al Ranim 8"
"102-8539-2024","2024-02-13 15:04:10","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","3193000","240","240","4 B/R","","","","","1","1","","Mudon Al Ranim 8"
"102-8540-2024","2024-02-13 15:09:47","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","3380000","168","168","3 B/R","","","","","1","1","","Mudon Al Ranim 8"
"102-8541-2024","2024-02-13 15:05:48","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2700000","168","168","3 B/R","","","","","1","1","","Mudon Al Ranim 8"
"102-8542-2024","2024-02-13 15:02:40","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2676000","168","168","3 B/R","","","","","1","1","","Mudon Al Ranim 8"
"102-8543-2024","2024-02-13 15:10:52","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2737000","168","168","3 B/R","","","","","2","1","","Mudon Al Ranim 8"
"102-8544-2024","2024-02-13 15:07:02","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2695000","168","168","3 B/R","","","","","1","1","","Mudon Al Ranim 8"
"102-8546-2024","2024-02-12 21:02:19","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","SUFOUH GARDENS","Unit","Hotel Apartment","3500000","116.76","116.76","2 B/R","1","Dubai Internet City","Mall of the Emirates","Burj Al Arab","1","1","","Biltmore Sufouh"
"102-8553-2024","2024-02-13 14:48:25","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2641000","168","168","3 B/R","","","","","1","1","","Mudon Al Ranim 8"
"102-8554-2024","2024-02-13 13:28:46","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","3082000","241.69","241.69","4 B/R","","","","","1","1","","Mudon Al Ranim 7"
"102-8555-2024","2024-02-13 14:49:35","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","3151000","240","240","4 B/R","","","","","1","1","","Mudon Al Ranim 8"
"102-8558-2024","2024-02-13 14:32:54","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Hadaeq Sheikh Mohammed Bin Rashid","Unit","Flat","1300000","62.8","62.8","1 B/R","1","","","","1","1","","Hills Park"
"102-8572-2024","2024-02-13 11:31:54","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","5350000","181.92","181.92","3 B/R","2","Business Bay Metro Station","Dubai Mall","Downtown Dubai","2","1","","Imperial  Avenue"
"102-8588-2024","2024-02-13 14:50:38","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","3350000","270.19","270.19","4 B/R","","","","","1","1","","Mudon Al Ranim 8"
"102-8598-2024","2024-02-12 15:22:08","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","TECOM SITE A","Unit","Flat","2350000","83.71","83.71","1 B/R","1","Mina Seyahi","Marina Mall","Burj Al Arab","1","1","","CAVALLI CASA TOWER"
"102-8599-2024","2024-02-13 08:45:45","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","2133888","71.25","71.25","1 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Burj Khalifa","1","1","","Grande"
