Transaction Number,Transaction Date,Transaction Type,Transaction sub type,Registration type,Is Free Hold?,Usage,Area,Property Type,Property Sub Type,Amount,Transaction Size (sq.m),Property Size (sq.m),Room(s),Parking,Nearest Metro,Nearest Mall,Nearest Landmark,No. of Buyer,No. of Seller,Master Project,Project
"102-8295-2023","2023-02-21 22:19:08","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","781993","60.18","60.18","1 B/R","1","Dubai Internet City","Marina Mall","Sports City Swimming Academy","1","1","","LEVANTO BY ORO24"
"102-8296-2023","2023-02-21 22:24:35","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI CREEK HARBOUR","Unit","Flat","2297888","100.18","100.18","2 B/R","1","Creek Metro Station","City Centre Mirdif","Dubai International Airport","1","1","","CREEK EDGE"
"102-8297-2023","2023-02-21 22:27:36","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","TOWN SQUARE","Unit","Flat","970888","88.52","88.52","2 B/R","1","","","Dubai Cycling Course","1","1","","ASCOT RESIDENCES"
"102-8298-2023","2023-02-21 22:31:00","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Nad Al Shiba First","Building","Villa","4677000","175.03","175.03","3 B/R","","","","","2","1","","Nad Al Sheba Gardens Phase 3 "
"102-8299-2023","2023-02-21 22:49:29","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","TOWN SQUARE","Unit","Flat","955888","85.74","85.74","2 B/R","1","","","Dubai Cycling Course","1","1","","ASCOT RESIDENCES"
"102-8300-2023","2023-02-21 23:03:30","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yufrah 1","Building","Villa","1784888","137.76","137.76","3 B/R","","","","","1","1","","The Valley - Elora"
"102-8301-2023","2023-02-21 23:07:49","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","TOWN SQUARE","Unit","Flat","1000888","113.61","113.61","2 B/R","1","","","Dubai Cycling Course","1","1","","ASCOT RESIDENCES"
"102-8302-2023","2023-02-21 23:10:54","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Nad Al Shiba First","Building","Villa","3749000","291.04","291.04","3 B/R","","","","","1","1","","Nad Al Sheba Gardens Phase 3 "
"102-8303-2023","2023-02-21 23:14:56","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Nad Al Shiba First","Building","Villa","3501000","195.89","195.89","3 B/R","","","","","1","1","","Nad Al Sheba Gardens Phase 3 "
"102-8304-2023","2023-02-21 23:18:52","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Nad Al Shiba First","Building","Villa","3450000","175.05","175.05","3 B/R","","","","","1","1","","Nad Al Sheba Gardens Phase 3 "
"102-8305-2023","2023-02-21 23:24:42","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Dubai Almelaheyah","Unit","Flat","1425888","72.7","72.7","1 B/R","1","","","","1","1","","Seascape"
"102-8306-2023","2023-02-21 23:27:37","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MEYDAN ONE","Unit","Shop","1448940","33.94","34.02","NA","","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Azizi Riviera 5"
"102-8307-2023","2023-02-21 23:31:00","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Nad Al Shiba First","Building","Villa","3450000","175","175","3 B/R","","","","","1","1","","Nad Al Sheba Gardens Phase 3 "
"102-8308-2023","2023-02-21 23:34:31","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","684000","58.34","58.34","1 B/R","1","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","2","1","","TORINO BY ORO24"
"102-8309-2023","2023-02-21 23:40:46","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Nad Al Shiba First","Building","Villa","4721000","389.08","389.08","3 B/R","","","","","1","1","","Nad Al Sheba Gardens Phase 3 "
"102-8310-2023","2023-02-21 23:43:33","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","TOWN SQUARE","Unit","Flat","666888","60.31","60.31","1 B/R","1","","","Dubai Cycling Course","1","1","","ASCOT RESIDENCES"
"102-8311-2023","2023-02-21 23:50:43","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI CREEK HARBOUR","Unit","Flat","2314888","100.15","100.15","2 B/R","1","Creek Metro Station","City Centre Mirdif","Dubai International Airport","1","1","","CREEK EDGE"
"102-8312-2023","2023-02-21 23:54:12","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Nad Al Shiba First","Building","Villa","4626000","324.14","324.14","3 B/R","","","","","2","1","","Nad Al Sheba Gardens Phase 3 "
"102-8313-2023","2023-02-21 23:59:58","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI SCIENCE PARK","Unit","Flat","580000","34.91","34.91","Studio","1","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Motor City","1","1","","Opalz By Danube"
"102-8314-2023","2023-02-22 00:03:15","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yufrah 1","Building","Villa","1780888","137.76","137.76","3 B/R","","","","","1","1","","The Valley - Elora"
"102-8315-2023","2023-02-22 00:07:27","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Nad Al Shiba First","Building","Villa","3814000","182","182","3 B/R","","","","","1","1","","Nad Al Sheba Gardens Phase 3 "
"102-8317-2023","2023-02-22 00:17:10","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Nad Al Shiba First","Building","Villa","4736000","400.92","400.92","3 B/R","","","","","1","1","","Nad Al Sheba Gardens Phase 3 "
"102-8318-2023","2023-02-22 00:19:30","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Nad Al Shiba First","Building","Villa","4204000","196.62","196.62","3 B/R","","","","","1","1","","Nad Al Sheba Gardens Phase 3 "
"102-8319-2023","2023-02-22 07:09:33","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","860000","56.02","56.02","1 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","1","1","","Maimoon Gardens"
"102-8320-2023","2023-02-22 07:11:22","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Nad Al Shiba First","Building","Villa","4756000","360.47","360.47","3 B/R","","","","","2","1","","Nad Al Sheba Gardens Phase 3 "
"102-8321-2023","2023-02-22 07:12:24","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 5","Building","Villa","2332888","144.87","144.87","3 B/R","","","","","1","1","","Arabian Ranches lll - Anya"
"102-8322-2023","2023-02-22 07:14:00","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI STUDIO CITY","Unit","Flat","1058672","96.77","96.77","2 B/R","1","","","Motor City","1","1","","CELIA RESIDENCE"
"102-8323-2023","2023-02-22 07:15:15","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Nad Al Shiba First","Building","Villa","4914000","298.17","298.17","3 B/R","","","","","1","1","","Nad Al Sheba Gardens Phase 3 "
