Transaction Number,Transaction Date,Transaction Type,Transaction sub type,Registration type,Is Free Hold?,Usage,Area,Property Type,Property Sub Type,Amount,Transaction Size (sq.m),Property Size (sq.m),Room(s),Parking,Nearest Metro,Nearest Mall,Nearest Landmark,No. of Buyer,No. of Seller,Master Project,Project
"102-25427-2023","2024-02-18 15:28:06","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2698000","182.51","182.51","3 B/R","","","","","1","1","","Mudon Al Ranim 4"
"102-8978-2024","2024-02-16 21:09:10","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1587135","127.62","127.62","2 B/R","1","Dubai Internet City","Marina Mall","Sports City Swimming Academy","1","1","","THE HAVEN GARDEN"
"102-9193-2024","2024-02-16 21:09:04","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","840000","67.52","67.52","1 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","1","1","","THE VYBE"
"102-9195-2024","2024-02-16 21:08:35","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1055636","82.72","82.72","1 B/R","1","Dubai Internet City","Marina Mall","Sports City Swimming Academy","1","1","","THE HAVEN GARDEN"
"102-9196-2024","2024-02-16 21:09:01","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","919222","65.72","65.72","1 B/R","1","Dubai Internet City","Marina Mall","Sports City Swimming Academy","1","1","","THE HAVEN GARDEN"
"102-9259-2024","2024-02-19 10:16:41","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","SOBHA HEARTLAND","Unit","Flat","2180000","118.91","118.91","2 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Sobha Hartland - Crest Grande"
"102-9515-2024","2024-02-16 21:09:07","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1036222","65.72","65.72","1 B/R","1","Dubai Internet City","Marina Mall","Sports City Swimming Academy","1","1","","THE HAVEN GARDEN"
"102-9532-2024","2024-02-16 14:27:57","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","3265000","240","240","4 B/R","","","","","1","1","","Mudon Al Ranim 8"
"102-9533-2024","2024-02-16 14:25:49","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2712000","172.84","172.84","3 B/R","","","","","1","1","","Mudon Al Ranim 8"
"102-9534-2024","2024-02-16 14:26:41","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2676000","168","168","3 B/R","","","","","1","1","","Mudon Al Ranim 8"
"102-9535-2024","2024-02-16 14:23:27","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","3151000","240","240","4 B/R","","","","","1","1","","Mudon Al Ranim 8"
"102-9536-2024","2024-02-16 14:30:59","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","3151000","240","240","4 B/R","","","","","1","1","","Mudon Al Ranim 8"
"102-9537-2024","2024-02-16 14:25:00","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2641000","168.09","168.09","3 B/R","","","","","1","1","","Mudon Al Ranim 8"
"102-9538-2024","2024-02-16 14:43:28","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2641000","168","168","3 B/R","","","","","1","1","","Mudon Al Ranim 8"
"102-9539-2024","2024-02-16 14:30:01","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2676000","168","168","3 B/R","","","","","1","1","","Mudon Al Ranim 8"
"102-9541-2024","2024-02-16 12:09:33","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2634000","168","168","3 B/R","","","","","1","1","","Mudon Al Ranim 8"
"102-9543-2024","2024-02-16 14:32:59","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2676000","168","168","3 B/R","","","","","1","1","","Mudon Al Ranim 8"
"102-9544-2024","2024-02-16 14:35:19","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2671000","168","168","3 B/R","","","","","1","1","","Mudon Al Ranim 8"
"102-9546-2024","2024-02-16 14:33:56","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2700000","168","168","3 B/R","","","","","1","1","","Mudon Al Ranim 8"
"102-9547-2024","2024-02-16 14:38:15","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2671000","168","168","3 B/R","","","","","1","1","","Mudon Al Ranim 8"
"102-9549-2024","2024-02-16 14:39:07","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2671000","168","168","3 B/R","","","","","1","1","","Mudon Al Ranim 8"
"102-9550-2024","2024-02-16 14:37:16","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","3823000","245.65","245.65","4 B/R","","","","","1","1","","Mudon Al Ranim 8"
"102-9552-2024","2024-02-16 14:36:14","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","3330000","470.2","470.2","4 B/R","","","","","1","1","","Mudon Al Ranim 8"
"102-9553-2024","2024-02-16 12:15:06","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","734000","31.29","62.59","1 B/R","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","Peninsula Three"
"102-9555-2024","2024-02-16 14:41:43","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2676000","168","168","3 B/R","","","","","1","1","","Mudon Al Ranim 8"
"102-9557-2024","2024-02-16 12:39:17","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","762928","80.62","80.62","1 B/R","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","1","1","","THE IVY"
"102-9558-2024","2024-02-16 14:40:15","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","3193000","240","240","4 B/R","","","","","1","1","","Mudon Al Ranim 8"
"102-9562-2024","2024-02-16 15:26:32","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","3314000","171.74","171.74","3 B/R","","","","","1","1","","Mudon Al Ranim 8"
"102-9563-2024","2024-02-19 12:58:16","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","850000","57.91","57.91","1 B/R","1","Dubai Internet City","Marina Mall","Sports City Swimming Academy","1","1","","Binghatti Emerald"
"102-9564-2024","2024-02-19 13:06:33","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","850000","62.46","62.46","1 B/R","1","Dubai Internet City","Marina Mall","Sports City Swimming Academy","1","1","","Binghatti Emerald"
"102-9566-2024","2024-02-16 12:39:22","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI DESIGN DISTRICT","Unit","Flat","3360000","110.06","110.06","2 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","2","1","","DESIGN QUARTER"
"102-9567-2024","2024-02-16 21:08:51","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1756102","71.34","71.34","1 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","NOBLES"
"102-9569-2024","2024-02-16 21:08:38","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","628950","48.93","48.93","1 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","1","1","","NEVA RESIDENCES"
"102-9570-2024","2024-02-16 21:08:58","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","608199","35.38","35.38","Studio","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","LILIUM TOWER"
"102-9571-2024","2024-02-16 21:08:47","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","678165","60.45","60.45","1 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","CLOUD Tower "
