Transaction Number,Transaction Date,Transaction Type,Transaction sub type,Registration type,Is Free Hold?,Usage,Area,Property Type,Property Sub Type,Amount,Transaction Size (sq.m),Property Size (sq.m),Room(s),Parking,Nearest Metro,Nearest Mall,Nearest Landmark,No. of Buyer,No. of Seller,Master Project,Project
"102-55828-2023","2023-11-07 16:48:12","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","1101775.88","78.98","78.98","1 B/R","1","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","2","1","","SAMANA MYKONOS SIGNATURE"
"102-58992-2023","2023-11-08 08:41:22","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Wasl","Unit","Flat","6985000","220.52","220.52","3 B/R","2","","","","1","1","","Erin"
"102-59055-2023","2023-11-08 08:43:02","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","505000","39.27","39.27","Studio","1","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","1","2","","Jewelz Residence"
"102-59205-2023","2023-11-07 15:15:08","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Hotel Rooms","395888","25.22","25.22","Studio","EU","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","The Community"
"102-59206-2023","2023-11-07 16:47:15","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","709023.03","39.12","39.12","Studio","1","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","1","1","","SAMANA MYKONOS SIGNATURE"
"102-59301-2023","2023-11-08 14:20:38","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 5","Building","Villa","2046591","144.84","144.84","3 B/R","","","","","2","1","","Arabian Ranches lll - Raya"
"102-59312-2023","2023-11-08 11:23:42","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MEYDAN ONE","Unit","Flat","570000","33.91","33.91","Studio","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Azizi Riviera 29"
"102-59317-2023","2023-11-08 08:45:33","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","VILLANOVA","Building","Villa","2320000","243.43","243.43","4 B/R","","","","IMG World Adventures","2","1","","La Rosa 6 "
"102-59318-2023","2023-11-08 11:21:09","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARABIAN RANCHES III","Building","Villa","2350000","144.84","144.84","3 B/R","","","","Hamdan Sports Complex","1","1","","Arabian Ranches lll - Ruba"
"102-59319-2023","2023-11-08 08:35:52","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","478524","32.96","32.96","Studio","1","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Motor City","2","1","","SAMANA PARK VIEWS"
"102-59321-2023","2023-11-07 17:58:56","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MEYDAN ONE","Unit","Flat","900000","49.59","49.59","1 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","2","","Azizi Riviera 35"
"102-59327-2023","2023-11-07 15:58:14","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MEYDAN ONE","Unit","Flat","486323","30.01","30.01","Studio","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Azizi Riviera 21"
"102-59517-2023","2023-11-08 08:31:25","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1241487.04","128.18","128.18","2 B/R","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","1","1","","LOCI Residences"
"102-59518-2023","2023-11-08 09:31:46","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","TOWN SQUARE","Unit","Flat","623888","44.52","44.52","1 B/R","1","","","Dubai Cycling Course","1","1","","LIVA"
"102-59519-2023","2023-11-08 10:20:41","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Building","Villa","1420000","137.76","137.76","3 B/R","","","","","2","2","","Greenview 3"
"102-59520-2023","2023-11-08 09:27:05","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI WATER CANAL","Unit","Flat","4248155","148.07","148.07","2 B/R","1","Business Bay Metro Station","Dubai Mall","Burj Khalifa","1","1","","Canal Front Residences-CF7 & CF8 & CF9"
"102-59521-2023","2023-11-08 10:55:27","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","3193888","113.52","113.52","2 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Burj Khalifa","1","1","","The St. Regis Residences, Downtown Dubai"
"102-59522-2023","2023-11-08 11:34:20","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","4018000","139.11","139.11","2 B/R","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","Imperial  Avenue"
"102-59523-2023","2023-11-08 11:30:09","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","3871000","139.19","139.19","2 B/R","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","2","1","","Imperial  Avenue"
"102-59524-2023","2023-11-08 09:13:58","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","AL FURJAN","Unit","Flat","620000","55.68","55.68","Studio","1","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Sports City Swimming Academy","1","1","","Westwood By Imtiaz"
"102-59525-2023","2023-11-08 09:31:47","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 5","Building","Villa","2252700","134.23","134.23","3 B/R","","","","","1","1","","Arabian Ranches lll - Bliss 2"
"102-59527-2023","2023-11-08 10:29:23","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","2250000","78.2","78.2","2 B/R","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","The EDGE"
"102-59528-2023","2023-11-08 15:00:52","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","THE VALLEY","Building","Villa","1750000","174","174","3 B/R","","","","","1","1","","The Valley-Nara"
"102-59529-2023","2023-11-08 10:44:07","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI WATER CANAL","Unit","Flat","2161661","90.32","90.32","1 B/R","1","Business Bay Metro Station","Dubai Mall","Burj Khalifa","1","1","","Canal Front Residences-CF7 & CF8 & CF9"
"102-59531-2023","2023-11-08 10:48:55","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","SOBHA HEARTLAND","Unit","Flat","1400000","66.25","66.25","1 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Sobha Hartland Waves Grande"
"102-59532-2023","2023-11-08 10:19:22","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","2098131","69.78","69.78","1 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Society House Downtown Dubai "
"102-59533-2023","2023-11-08 10:37:35","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Fourth","Building","Villa","2650000","140.43","140.43","3 B/R","","","","","1","1","","Aura"
"102-59534-2023","2023-11-08 11:53:26","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","EMAAR SOUTH","Building","Villa","1300000","144.32","144.32","3 B/R","","","","Al Makhtoum International Airport","2","1","","Greenview 2"
"102-59535-2023","2023-11-08 11:55:39","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Jabal Ali First","Unit","Flat","1949400","119.99","119.99","2 B/R","1","","","","2","1","","California by SD "
"102-59537-2023","2023-11-08 11:51:49","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1140000","114.43","114.43","2 B/R","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","1","1","","BELGRAVIA SQUARE"
"102-59538-2023","2023-11-08 11:34:49","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","CITY WALK","Unit","Flat","1750000","68.48","68.48","1 B/R","1","","","","2","1","","Celadon "
"102-59539-2023","2023-11-08 13:42:07","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MEYDAN ONE","Unit","Flat","490000","29.44","29.44","Studio","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Azizi Riviera 28"
"102-59540-2023","2023-11-08 12:15:54","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Flat","520000","36.04","36.04","Studio","1","Damac Properties","Marina Mall","Burj Al Arab","1","1","","SEVEN CITY JLT"
"102-59541-2023","2023-11-08 12:56:56","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI CREEK HARBOUR","Unit","Flat","1825000","107.25","107.25","2 B/R","1","Creek Metro Station","City Centre Mirdif","Dubai International Airport","1","1","","Creek Beach - Lotus"
"102-59542-2023","2023-11-08 13:26:08","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARABIAN RANCHES III","Building","Villa","2100000","144.84","144.84","3 B/R","","","","Hamdan Sports Complex","1","1","","Arabian Ranches lll - Ruba"
"102-59543-2023","2023-11-08 13:20:07","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","1175000","86.95","86.95","2 B/R","1  0","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","2","1","","Vincitore Benessere"
"102-59545-2023","2023-11-08 14:18:23","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","3200000","111.62","111.62","2 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Burj Khalifa","1","1","","Grande"
"102-59546-2023","2023-11-08 13:45:49","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI STUDIO CITY","Unit","Flat","835000","68.52","68.52","1 B/R","1","Sharaf Dg Metro Station","","Motor City","1","1","","LAYA HEIGHTS"
"102-59547-2023","2023-11-08 13:38:24","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Jabal Ali First","Unit","Flat","1179165","77","77","1 B/R","1","","","","2","1","","California by SD "
"102-59548-2023","2023-11-08 14:42:23","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BURJ KHALIFA","Unit","Hotel Apartment","4400000","107.44","107.44","2 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Vida Dubai Mall"
"102-59550-2023","2023-11-08 15:12:20","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Flat","555000","38.66","38.66","Studio","1","Damac Properties","Marina Mall","Burj Al Arab","3","1","","SEVEN CITY JLT"
"102-59551-2023","2023-11-08 14:32:37","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1600000","62.14","62.14","1 B/R","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","2","1","","Peninsula Three"
"102-59552-2023","2023-11-08 14:50:00","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI HARBOUR","Unit","Flat","8000000","212.18","212.18","3 B/R","2","","","","1","1","","Grand Bleu Tower interiors by Elie Saab"
"102-59553-2023","2023-11-08 14:05:04","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","634800","43.36","43.36","Studio","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","1","1","","The Residence By Prestige One"
"102-59554-2023","2023-11-08 14:46:46","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Um Suqaim Third","Unit","Flat","3300000","119.88","119.88","2 B/R","1","","","","1","1","","Lamaa"
"102-59555-2023","2023-11-08 15:01:59","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MEYDAN ONE","Unit","Flat","460000","27.57","27.57","Studio","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Azizi Riviera 1"
"11-35309-2023","2023-11-08 11:58:08","Sales","Sale","Ready","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","2380000","122.38","122.38","2 B/R","P2-41","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","",""
"11-35310-2023","2023-11-08 12:26:42","Sales","Sale","Ready","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","2380000","122.38","122.38","2 B/R","P2-51","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","",""
"11-35311-2023","2023-11-08 09:37:40","Sales","Sale","Ready","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","2380000","122.38","122.38","2 B/R","P3-13","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","",""
"11-35474-2023","2023-11-08 14:48:42","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Flat","840417","61.05","61.05","Studio","B4-757","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","2","1","","BAY SQUARE"
"11-35581-2023","2023-11-08 08:31:48","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Office","1569000","179.74","179.74","Office","B3-44 , B3-45 , B3-104 , B3-105","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","4","","SOBHA SAPPHIRE"
"11-35582-2023","2023-11-08 08:10:22","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Office","1490985","160.56","160.56","Office","B3-46 , B3-47 , B3-107 , B3-108","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","4","","SOBHA SAPPHIRE"
"11-35595-2023","2023-11-08 10:22:36","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Flat","1340000","135.27","135.27","2 B/R","DMCC -2122 & DMCC -2123","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","2","8","","LAKE VIEW"
"11-35982-2023","2023-11-08 09:06:18","Sales","Sale","Ready","Free Hold","Residential","REMRAAM","Unit","Flat","560000","107.69","107.69","1 B/R","G-53","","","Motor City","1","1","","REMRAAM"
"11-36005-2023","2023-11-08 09:31:46","Sales","Sale","Ready","Free Hold","Residential","ARJAN","Unit","Flat","750000","65.36","65.36","1 B/R","B-48","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Motor City","1","1","Remraam - Al Ramth","GENESIS"
"11-36059-2023","2023-11-08 12:21:54","Sales","Sale","Ready","Free Hold","Residential","DUBAI MARINA","Unit","Flat","1150000","73.08","73.08","1 B/R","B2-34","Jumeirah Beach Resdency","Marina Mall","Burj Al Arab","1","1","","ROYAL OCEANIC TOWER"
"11-36099-2023","2023-11-08 09:06:06","Sales","Sale","Ready","Free Hold","Residential","DUBAI MARINA","Unit","Flat","3350000","128.95","128.95","2 B/R","P3-015","Marina Towers","Marina Mall","Burj Al Arab","1","1","","THE RESIDENCES AT MARINA GATE 1"
"11-36108-2023","2023-11-08 10:09:31","Sales","Sale","Ready","Free Hold","Residential","BUSINESS BAY","Unit","Office","1800000","84.31","84.31","Office","B2 - 17","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","51@BUSINESS BAY"
"11-36110-2023","2023-11-08 08:30:52","Sales","Sale","Ready","Free Hold","Residential","REMRAAM","Unit","Flat","680000","93.4","93.4","2 B/R","G-52","","","Motor City","1","1","","REMRAAM"
"11-36119-2023","2023-11-08 14:24:23","Sales","Sale","Ready","Free Hold","Residential","AL KHAIL HEIGHTS","Building","Villa","2250000","702.56","702.56","6 B/R","","Noor Bank Metro Station","Dubai Mall","Downtown Dubai","1","1","","AL KHAIL HEIGHTS"
"11-36120-2023","2023-11-08 14:24:36","Sales","Sale","Ready","Free Hold","Residential","AL KHAIL HEIGHTS","Building","Villa","2250000","716.97","716.97","6 B/R","","Noor Bank Metro Station","Dubai Mall","Downtown Dubai","1","1","","AL KHAIL HEIGHTS"
"11-36121-2023","2023-11-08 14:29:04","Sales","Sale","Ready","Free Hold","Residential","AL KHAIL HEIGHTS","Building","Villa","2250000","777.32","777.32","5 B/R","","Noor Bank Metro Station","Dubai Mall","Downtown Dubai","1","1","","AL KHAIL HEIGHTS"
"11-36123-2023","2023-11-08 14:34:12","Sales","Sale","Ready","Free Hold","Residential","AL KHAIL HEIGHTS","Building","Villa","2250000","567.56","567.56","5 B/R","","Noor Bank Metro Station","Dubai Mall","Downtown Dubai","1","1","","AL KHAIL HEIGHTS"
"11-36124-2023","2023-11-08 14:31:54","Sales","Sale","Ready","Free Hold","Residential","AL KHAIL HEIGHTS","Building","Villa","2250000","717.18","717.18","6 B/R","","Noor Bank Metro Station","Dubai Mall","Downtown Dubai","1","1","","AL KHAIL HEIGHTS"
"11-36130-2023","2023-11-08 08:31:15","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH LAKES TOWERS","Unit","Flat","1300000","90.99","90.99","1 B/R","DMCC-2071","Damac Properties","Marina Mall","Burj Al Arab","1","1","",""
"11-36131-2023","2023-11-08 14:39:26","Sales","Sale","Ready","Free Hold","Residential","THE LAKES","Land","Residential","8350000","618.8","618.8","","","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","1","1","",""
"11-36133-2023","2023-11-07 15:25:44","Sales","Sale","Ready","Free Hold","Residential","DUBAI MARINA","Unit","Flat","10500000","524.42","524.42","4 B/R","G-19,20,21","Mina Seyahi","Marina Mall","Burj Al Arab","3","1","","23 MARINA"
"11-36135-2023","2023-11-08 14:30:25","Sales","Sale","Ready","Free Hold","Residential","AL KHAIL HEIGHTS","Building","Villa","2250000","741.55","741.55","6 B/R","","Noor Bank Metro Station","Dubai Mall","Downtown Dubai","1","1","","AL KHAIL HEIGHTS"
"11-36139-2023","2023-11-08 09:26:06","Sales","Sale","Ready","Free Hold","Residential","THE GREENS","Unit","Flat","2600000","152.55","152.55","2 B/R","","Nakheel Metro Station","Marina Mall","Burj Al Arab","1","1","",""
"11-36140-2023","2023-11-07 15:32:41","Sales","Sale","Ready","Free Hold","Residential","DUBAI CREEK HARBOUR","Unit","Flat","3500000","151.46","151.46","2 B/R","B1-34","Creek Metro Station","Dubai Mall","Dubai International Airport","1","1","","THE DUBAI CREEK RESIDENCES"
"11-36141-2023","2023-11-08 08:08:57","Sales","Sale","Ready","Free Hold","Residential","DUBAI MARINA","Unit","Flat","800000","73.01","73.01","1 B/R","B1-F1911","Jumeirah Lakes Towers","Marina Mall","Sports City Swimming Academy","1","1","",""
"11-36142-2023","2023-11-08 08:25:29","Sales","Sale","Ready","Free Hold","Residential","FALCON CITY OF WONDERS","Land","Residential","5354359","3418.18","3418.18","","","","","IMG World Adventures","1","1","",""
"11-36143-2023","2023-11-08 08:09:34","Sales","Sale","Ready","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","360000","58.71","58.71","Studio","B-51","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","1","1","","MASAAR RESIDENCES"
"11-36144-2023","2023-11-08 09:12:00","Sales","Sale","Ready","Free Hold","Residential","FALCON CITY OF WONDERS","Land","Residential","4847485","3093.42","3093.42","","","","","IMG World Adventures","1","1","",""
