Transaction Number,Transaction Date,Transaction Type,Transaction sub type,Registration type,Is Free Hold?,Usage,Area,Property Type,Property Sub Type,Amount,Transaction Size (sq.m),Property Size (sq.m),Room(s),Parking,Nearest Metro,Nearest Mall,Nearest Landmark,No. of Buyer,No. of Seller,Master Project,Project
"102-41054-2023","2023-08-21 17:06:15","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI CREEK HARBOUR","Unit","Flat","1327888","66.9","66.9","1 B/R","1","Creek Metro Station","City Centre Mirdif","Dubai International Airport","1","1","","CREEK EDGE"
"102-41055-2023","2023-08-21 17:06:58","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yufrah 1","Building","Villa","4430888","416.58","416.58","5 B/R","","","","","1","1","","The Valley - Rivana"
"102-41056-2023","2023-08-21 17:08:52","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","475807","35.72","35.72","Studio","1","Dubai Internet City","Marina Mall","Sports City Swimming Academy","1","1","","SERENITY LAKES 5"
"102-41057-2023","2023-08-21 17:09:40","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1700000","144.58","144.58","2 B/R","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","1","1","","Binghatti Onyx"
"102-41058-2023","2023-08-21 17:10:15","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","993222","75.82","75.82","1 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","1","1","","THE VYBE"
"102-41059-2023","2023-08-21 17:10:59","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","750000","61.65","61.65","1 B/R","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","1","1","","Binghatti Venus"
"102-41060-2023","2023-08-21 17:11:44","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","750000","62.32","62.32","1 B/R","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","1","1","","Binghatti Venus"
"102-41061-2023","2023-08-21 17:12:18","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","700000","53.14","53.14","1 B/R","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","1","1","","Binghatti Venus"
"102-41062-2023","2023-08-21 17:46:20","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yelayiss 2","Unit","Flat","707888","60.5","60.5","1 B/R","1","","","","1","1","","THE REGENT "
"102-41063-2023","2023-08-21 17:47:50","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","765000","53.14","53.14","1 B/R","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","1","1","","Binghatti Venus"
"102-41064-2023","2023-08-21 17:50:00","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2381000","168.08","168.08","3 B/R","","","","","1","1","","Mudon Al Ranim 6"
"102-41065-2023","2023-08-21 17:50:45","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1320000","43.41","43.41","Studio","1","","","","0","1","","CANAL HEIGHTS"
"102-41066-2023","2023-08-21 17:54:08","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1293000","42.69","42.69","Studio","1","","","","0","1","","CANAL HEIGHTS"
"102-41067-2023","2023-08-21 17:55:00","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","PALM JUMEIRAH","Building","Villa","65000000","1611.74","1611.74","6 B/R","","Jumeirah Beach Resdency","Marina Mall","Burj Al Arab","1","1","","EOME"
"102-41068-2023","2023-08-21 17:56:19","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI HILLS","Unit","Flat","1567225.35","83.2","83.2","1 B/R","1","First Abu Dhabi Bank Metro Station","Mall of the Emirates","Global Village","2","1","","THE GROVE BY IMAN"
"102-41069-2023","2023-08-21 17:57:24","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","SOBHA HEARTLAND","Unit","Flat","1662151","83.47","83.47","1 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Sobha Hartland Waves Opulence"
"102-41070-2023","2023-08-21 17:58:21","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","847917","69.2","69.2","1 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","1","1","","THE VYBE"
"102-41071-2023","2023-08-21 18:21:18","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BURJ KHALIFA","Unit","Hotel Apartment","3600888","110.75","110.75","2 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Vida Dubai Mall"
"102-41072-2023","2023-08-21 18:23:38","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yufrah 1","Building","Villa","4437888","492.8","492.8","5 B/R","","","","","1","1","","The Valley - Rivana"
"102-41073-2023","2023-08-21 18:25:28","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI HARBOUR","Unit","Flat","7537888","126.22","126.22","2 B/R","1","","","","2","1","","BAYVIEW"
"102-41074-2023","2023-08-21 18:44:17","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Zaabeel First","Unit","Flat","6600000","149.61","149.61","2 B/R","1","","","","1","1","","One Za'abeel"
"102-41075-2023","2023-08-21 18:51:21","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yelayiss 2","Unit","Flat","1418888","142.06","142.06","3 B/R","2","","","","1","1","","The Hamilton"
"102-41076-2023","2023-08-21 19:01:17","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1301000","42.39","42.39","Studio","1","","","","1","1","","CANAL HEIGHTS"
"102-41077-2023","2023-08-21 19:01:27","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","2163551","76.35","76.35","1 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Society House Downtown Dubai "
"102-41078-2023","2023-08-21 19:01:39","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1946000","70.29","70.29","1 B/R","1","","","","1","1","","CANAL HEIGHTS"
"102-41079-2023","2023-08-21 19:01:50","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1398000","44.19","44.19","Studio","1","","","","1","1","","CANAL HEIGHTS"
"102-41080-2023","2023-08-21 19:02:01","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1359000","44.14","44.14","Studio","1","","","","1","1","","CANAL HEIGHTS"
"102-41081-2023","2023-08-21 19:02:16","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1294000","42.23","42.23","Studio","1","","","","1","1","","CANAL HEIGHTS"
"102-41082-2023","2023-08-21 19:02:28","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","2292523","90.19","90.19","1 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Society House Downtown Dubai "
"102-41083-2023","2023-08-21 19:02:40","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","2135000","80.26","80.26","1 B/R","1","","","","1","1","","CANAL HEIGHTS"
"102-41084-2023","2023-08-21 19:04:53","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yufrah 1","Building","Villa","3496888","392.02","392.02","4 B/R","","","","","1","1","","The Valley - Rivana"
"102-41085-2023","2023-08-21 19:05:06","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yufrah 1","Building","Villa","3363888","357.88","357.88","4 B/R","","","","","1","1","","The Valley - Rivana"
"102-41086-2023","2023-08-21 19:05:47","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","AL FURJAN","Unit","Flat","1767656","135.57","135.57","2 B/R","1","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Sports City Swimming Academy","2","1","","AVENUE RESIDENCE 4"
"102-41087-2023","2023-08-21 19:06:35","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1321000","42.03","42.03","Studio","1","","","","1","1","","CANAL HEIGHTS"
"102-41088-2023","2023-08-21 19:07:05","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","2068224","69.85","69.85","1 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Society House Downtown Dubai "
"102-41089-2023","2023-08-21 19:07:40","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","530000","41.37","41.37","Studio","1","","","IMG World Adventures","1","1","","Samana IVY Gardens "
"102-41090-2023","2023-08-21 19:07:47","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yelayiss 2","Unit","Flat","782888","63.54","63.54","1 B/R","1","","","","2","1","","The Hamilton"
"102-41091-2023","2023-08-21 19:08:13","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yufrah 1","Building","Villa","4396888","494.86","494.86","5 B/R","","","","","1","1","","The Valley - Rivana"
"102-41092-2023","2023-08-21 19:11:13","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","2195327","76.87","76.87","1 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Society House Downtown Dubai "
"102-41093-2023","2023-08-21 19:11:24","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI HEALTHCARE CITY - PHASE 2","Unit","Flat","6850000","178.96","178.96","2 B/R","1","Creek Metro Station","Dubai Mall","Downtown Dubai","1","1","","Kempinski Residences The Creek"
"102-41095-2023","2023-08-21 19:12:03","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yelayiss 2","Unit","Flat","1099888","98.81","98.81","2 B/R","1","","","","1","1","","The Hamilton"
"102-41096-2023","2023-08-21 19:12:18","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yufrah 1","Building","Villa","3336888","334.87","334.87","4 B/R","","","","","4","1","","The Valley - Rivana"
"102-41097-2023","2023-08-21 19:12:31","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","AL FURJAN","Unit","Flat","1578196","124.31","124.31","2 B/R","1","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Sports City Swimming Academy","2","1","","AVENUE RESIDENCE 4"
"102-41098-2023","2023-08-21 19:13:06","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","SOBHA HEARTLAND","Unit","Flat","3279828","121.08","121.08","2 B/R","2","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","THE HIGHBURY"
"102-41099-2023","2023-08-21 19:13:17","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yufrah 1","Building","Villa","3376888","303.2","303.2","4 B/R","","","","","1","1","","The Valley - Rivana"
"102-41100-2023","2023-08-21 19:13:28","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yufrah 1","Building","Villa","4586559","630.01","630.01","5 B/R","","","","","2","1","","The Valley - Rivana"
"102-41101-2023","2023-08-21 19:13:40","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","PALM JUMEIRAH","Unit","Flat","47650000","945.9","945.9","4 B/R","4","Al Sufouh","Mall of the Emirates","Burj Al Arab","4","1","","LUCE"
"102-41102-2023","2023-08-21 19:13:52","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","1946729","66.1","66.1","1 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Society House Downtown Dubai "
"102-41103-2023","2023-08-21 19:14:04","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","989222","67.34","67.34","1 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","1","1","","THE VYBE"
"102-41104-2023","2023-08-21 19:14:29","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","2215000","71.3","71.3","1 B/R","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","CANAL HEIGHTS 2"
"102-41105-2023","2023-08-21 19:14:40","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yelayiss 2","Unit","Flat","1443888","142.07","142.07","3 B/R","2","","","","1","1","","The Hamilton"
"102-41106-2023","2023-08-21 19:14:51","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","1978505","67.46","67.46","1 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Society House Downtown Dubai "
"102-41107-2023","2023-08-21 19:15:05","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","2438000","76.95","76.95","1 B/R","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","CANAL HEIGHTS 2"
"102-41108-2023","2023-08-21 19:15:30","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yufrah 1","Building","Villa","2803888","300","300","3 B/R","","","","","1","1","","The Valley - Rivana"
"102-41109-2023","2023-08-21 19:15:47","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","PALM JUMEIRAH","Unit","Flat","39000000","599.41","599.41","4 B/R","3","Jumeirah Beach Resdency","Marina Mall","Burj Al Arab","1","1","Palace Beach Residence","Six Senses Residences The Palm, Dubai"
"102-41110-2023","2023-08-21 19:17:08","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yufrah 1","Building","Villa","3400888","307.78","307.78","4 B/R","","","","","1","1","","The Valley - Rivana"
"102-41111-2023","2023-08-21 19:17:58","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","1600000","110.41","110.41","2 B/R","1","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","2","1","","Vincitore Volare"
"102-41112-2023","2023-08-21 19:18:04","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yufrah 1","Building","Villa","2941888","300","300","3 B/R","","","","","1","1","","The Valley - Rivana"
"102-41113-2023","2023-08-21 19:18:16","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yufrah 1","Building","Villa","3407888","337.59","337.59","4 B/R","","","","","1","1","","The Valley - Rivana"
"102-41114-2023","2023-08-21 19:18:37","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1315000","43.51","43.51","Studio","1","","","","1","1","","CANAL HEIGHTS"
"102-41115-2023","2023-08-21 19:19:39","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","1900000","109.39","109.39","2 B/R","2","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","Fashionz 1 By Danube"
"102-41116-2023","2023-08-21 19:21:55","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","PALM JUMEIRAH","Unit","Flat","27980000","381.5","381.5","4 B/R","3","Jumeirah Beach Resdency","Marina Mall","Burj Al Arab","2","1","Palace Beach Residence","Six Senses Residences The Palm, Dubai"
"102-41117-2023","2023-08-21 19:42:45","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","2249118","132.18","132.18","2 B/R","1","","","","2","1","","Expo City Mangrove Residences"
"102-41118-2023","2023-08-21 19:45:09","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yufrah 1","Building","Villa","2918888","369.97","369.97","3 B/R","","","","","0","1","","The Valley - Rivana"
"102-41119-2023","2023-08-21 19:45:15","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","2097436","127.94","127.94","2 B/R","1","","","","1","1","","Expo City Mangrove Residences"
"102-41120-2023","2023-08-21 19:45:19","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yufrah 1","Building","Villa","2913888","299.99","299.99","3 B/R","","","","","0","1","","The Valley - Rivana"
"102-41121-2023","2023-08-21 19:46:42","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","2058808","132.18","132.18","2 B/R","1","","","","1","1","","Expo City Mangrove Residences"
"102-41122-2023","2023-08-21 19:48:30","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","1358642","90.07","90.07","1 B/R","1","","","","1","1","","Expo City Mangrove Residences"
"102-41123-2023","2023-08-21 19:50:31","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MEYDAN ONE","Unit","Flat","579105","30.74","30.74","Studio","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","0","1","","Azizi Riviera 43"
"102-41124-2023","2023-08-21 19:51:58","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","1563676","90.07","90.07","1 B/R","1","","","","2","1","","Expo City Mangrove Residences"
"102-41125-2023","2023-08-21 19:52:08","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","950000","54.82","54.82","1 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","0","1","","Maimoon Gardens"
"102-41126-2023","2023-08-21 19:53:38","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MEYDAN ONE","Unit","Flat","558750","29.03","29.03","Studio","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","0","1","","Azizi Riviera 41"
"102-41127-2023","2023-08-21 19:56:14","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","380606","37.62","37.62","Studio","1","","","IMG World Adventures","0","1","","AG 7EVEN"
"102-41128-2023","2023-08-21 19:57:56","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","2570134","132.18","132.18","2 B/R","1","","","","1","1","","Expo City Mangrove Residences"
"102-41129-2023","2023-08-21 20:01:57","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","1371020","78.96","78.96","1 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","Fashionz 1 By Danube"
"102-41130-2023","2023-08-21 20:02:34","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","1599856","90.07","90.07","1 B/R","1","","","","1","1","","Expo City Mangrove Residences"
"102-41131-2023","2023-08-21 20:03:01","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yufrah 1","Building","Villa","2965888","300.01","300.01","3 B/R","","","","","1","1","","The Valley - Rivana"
"102-41132-2023","2023-08-21 20:04:20","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","918222","66.47","66.47","1 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","1","1","","THE VYBE"
"102-41133-2023","2023-08-21 20:04:31","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","3604697","179.56","179.56","3 B/R","2","","","","1","1","","Expo City Mangrove Residences"
"102-41134-2023","2023-08-21 20:06:26","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Al Mataar","Unit","Flat","2101835","128.12","128.12","2 B/R","1","","","","1","1","","Expo City Mangrove Residences"
"102-41135-2023","2023-08-21 20:06:31","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI SPORTS CITY","Unit","Flat","1070000","85.38","85.38","1 B/R","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","1","1","","Vista by Prestige One "
