Transaction Number,Transaction Date,Transaction Type,Transaction sub type,Registration type,Is Free Hold?,Usage,Area,Property Type,Property Sub Type,Amount,Transaction Size (sq.m),Property Size (sq.m),Room(s),Parking,Nearest Metro,Nearest Mall,Nearest Landmark,No. of Buyer,No. of Seller,Master Project,Project
"102-13312-2024","2024-03-07 16:40:36","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI MARINA","Unit","Hotel Rooms","653940","7.52","7.52","Studio","","Mina Seyahi","Marina Mall","Burj Al Arab","1","1","","Ciel"
"102-13314-2024","2024-03-07 16:38:15","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI MARINA","Unit","Hotel Rooms","770196","8.68","8.68","Studio","","Mina Seyahi","Marina Mall","Burj Al Arab","1","1","","Ciel"
"102-13608-2024","2024-03-07 21:10:35","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1062537","76.82","76.82","1 B/R","1","Dubai Internet City","Marina Mall","Sports City Swimming Academy","1","1","","THE HAVEN GARDEN"
"102-14214-2024","2024-03-07 16:04:02","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Um Suqaim Third","Unit","Flat","2802000","79.11","79.11","1 B/R","1","","","","3","1","","ELARA"
"102-14290-2024","2024-03-07 15:40:46","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","9295066","199.94","199.94","3 B/R","2","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Burj Khalifa","2","2","","Grande"
"102-14292-2024","2024-03-08 09:16:09","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI HARBOUR","Unit","Flat","6250000","216.06","216.06","3 B/R","2","","","","1","4","","Beach Mansion"
"102-14320-2024","2024-03-08 08:45:22","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI STUDIO CITY","Unit","Flat","495000","33.45","33.45","Studio","1","","","Motor City","1","1","","SAMANA GOLF AVENUE"
"102-14326-2024","2024-03-08 09:16:59","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI HARBOUR","Unit","Flat","13000000","218.73","218.73","3 B/R","2","","","","2","1","","Grand Bleu Tower interiors by Elie Saab"
"102-14333-2024","2024-03-07 18:00:21","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI MARITIME CITY","Unit","Flat","1688000","68.18","68.18","1 B/R","1","Al Ghubaiba Metro Station","Dubai Mall","Burj Khalifa","2","1","","Nautica Two "
"102-14334-2024","2024-03-07 18:00:28","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","1687086","108.51","108.51","2 B/R","B-76","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","1","1","","UNIESTATE SUPREME RESIDENCE"
"102-14335-2024","2024-03-07 18:00:40","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1300000","102.9","102.9","2 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","2","1","","Binghatti Gardenia"
"102-14336-2024","2024-03-07 18:00:46","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Jabal Ali First","Unit","Flat","1750000","134.65","134.65","3 B/R","2","","","","2","1","","Serene Gardens 2 by Prescott"
"102-14337-2024","2024-03-07 18:00:51","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","8092280","187.95","187.95","2 B/R","2","","","","2","1","","Sobha Seahaven - Tower B"
"102-14338-2024","2024-03-07 18:00:57","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 7","Unit","Flat","481554","46.26","46.26","1 B/R","1","","","","1","1","","Rukan Residence"
"102-14339-2024","2024-03-07 18:01:01","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","720000","63.95","63.95","1 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","1","1","","Binghatti Amber"
"102-14340-2024","2024-03-07 18:01:06","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Hadaeq Sheikh Mohammed Bin Rashid","Unit","Flat","1601888","67.75","67.75","1 B/R","1","","","","1","1","","Club Drive"
"102-14341-2024","2024-03-07 18:01:10","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Bukadra","Unit","Flat","1577170","66.45","66.45","1 B/R","1","","","","1","1","","Riverside Crescent"
"102-14342-2024","2024-03-07 18:01:15","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Jabal Ali First","Unit","Flat","1450000","99.18","99.18","2 B/R","1","","","","1","1","","Serene Gardens 2 by Prescott"
"102-14343-2024","2024-03-07 18:01:21","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","ARJAN","Unit","Flat","620716","40.22","40.22","Studio","1","Sharaf Dg Metro Station","Mall of the Emirates","Motor City","2","1","","NAS3"
"102-14344-2024","2024-03-07 18:01:26","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Jabal Ali First","Unit","Flat","640000","37.47","37.47","Studio","1","","","","1","1","","Serene Gardens 2 by Prescott"
"102-14345-2024","2024-03-07 18:01:31","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BURJ KHALIFA","Unit","Flat","3055500","133.93","133.93","2 B/R","","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Burj Khalifa","2","1","","VOLTA TOWER"
"102-14346-2024","2024-03-07 18:01:35","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DAMAC HILLS","Unit","Flat","1919820","122.93","122.93","2 B/R","1","","","Motor City","1","1","","DAMAC HILLS - GOLF GREENS 1"
"102-14347-2024","2024-03-07 18:01:55","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI HARBOUR","Unit","Flat","3883888","70.98","70.98","1 B/R","1","","","","1","1","","BAYVIEW"
"102-14348-2024","2024-03-07 18:01:59","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","590000","29.04","29.04","Studio","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","1","1","","Binghatti Gardenia"
"102-14349-2024","2024-03-07 18:02:04","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JADDAF WATERFRONT","Unit","Office","532000","41.67","41.67","NA","1","Al Jadaf Metro Station","Dubai Mall","Dubai International Airport","1","1","","Boutique 23"
"102-14350-2024","2024-03-07 18:02:08","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JADDAF WATERFRONT","Unit","Flat","550000","32.5","32.5","Studio","1","Al Jadaf Metro Station","Dubai Mall","Dubai International Airport","1","1","","Boutique 23"
"102-14351-2024","2024-03-07 18:02:12","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Hadaeq Sheikh Mohammed Bin Rashid","Unit","Flat","1579888","69.38","69.38","1 B/R","1","","","","1","1","","Club Drive"
"102-14352-2024","2024-03-07 18:02:17","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Hadaeq Sheikh Mohammed Bin Rashid","Unit","Flat","2586888","100.21","100.21","2 B/R","1","","","","2","1","","Club Drive"
"102-14353-2024","2024-03-07 18:02:21","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1238328","79.83","79.83","1 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","1","1","","Manhattan 2 by SD"
"102-14354-2024","2024-03-07 18:02:26","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","TOWN SQUARE","Unit","Flat","840888","59.76","59.76","1 B/R","1","","","Dubai Cycling Course","2","1","","Grove "
"102-14355-2024","2024-03-07 18:02:32","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","3189289","80.08","80.08","1 B/R","1","","","","3","1","","Sobha Seahaven Tower A"
"102-14356-2024","2024-03-07 18:02:38","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Hadaeq Sheikh Mohammed Bin Rashid","Unit","Flat","1595888","69.92","69.92","1 B/R","1","","","","1","1","","Club Drive"
"102-14357-2024","2024-03-07 18:02:42","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JADDAF WATERFRONT","Unit","Flat","727975","45.22","45.22","1 B/R","1","Al Jadaf Metro Station","Dubai Mall","Dubai International Airport","1","1","","Boutique 23"
"102-14358-2024","2024-03-07 18:02:46","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1386000","42.01","42.01","Studio","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","CANAL CROWN 2"
"102-14359-2024","2024-03-07 18:02:51","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","2045000","75.54","75.54","1 B/R","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","CANAL CROWN"
"102-14360-2024","2024-03-07 18:02:55","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DAMAC HILLS","Unit","Flat","1917630","124.92","124.92","2 B/R","1","","","Motor City","1","1","","DAMAC HILLS - GOLF GREENS 1"
"102-14361-2024","2024-03-07 18:03:13","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","890000","59.55","59.55","1 B/R","1","Dubai Internet City","Marina Mall","Sports City Swimming Academy","1","1","","Binghatti House"
"102-14362-2024","2024-03-07 18:03:18","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","TOWN SQUARE","Unit","Flat","895888","78.85","78.85","1 B/R","1","","","Dubai Cycling Course","1","1","","Grove "
"102-14363-2024","2024-03-07 18:03:22","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","845000","57.72","57.72","1 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","1","1","","VITA GRANDE BY METEORA"
