Transaction Number,Transaction Date,Transaction Type,Transaction sub type,Registration type,Is Free Hold?,Usage,Area,Property Type,Property Sub Type,Amount,Transaction Size (sq.m),Property Size (sq.m),Room(s),Parking,Nearest Metro,Nearest Mall,Nearest Landmark,No. of Buyer,No. of Seller,Master Project,Project
"102-47322-2023","2023-11-27 14:44:56","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","808950.24","66.06","66.06","1 B/R","1","","","IMG World Adventures","1","1","","Samana IVY Gardens "
"102-62261-2023","2023-11-27 09:20:36","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI MARINA","Unit","Flat","527759","19.35","77.37","1 B/R","1","Jumeirah Beach Resdency","Marina Mall","Burj Al Arab","1","3","","LIV LUX"
"102-62544-2023","2023-11-24 12:51:59","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MBR DISTRICT 7","Unit","Flat","823200","36.74","36.74","Studio","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","MAG EYE Phase 1"
"102-62545-2023","2023-11-24 12:53:39","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MBR DISTRICT 7","Unit","Flat","812000","38.51","38.51","Studio","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","MAG EYE Phase 1"
"102-62548-2023","2023-11-24 12:54:32","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MBR DISTRICT 7","Unit","Flat","795760","38.73","38.73","Studio","1","","","","1","1","","MAG EYE Phase 1"
"102-62549-2023","2023-11-24 12:59:30","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MBR DISTRICT 7","Unit","Flat","779520","38.73","38.73","Studio","1","","","","1","1","","MAG EYE Phase 1"
"102-62550-2023","2023-11-24 12:57:21","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MBR DISTRICT 7","Unit","Flat","799000","38.82","38.82","Studio","1","Noor Bank Metro Station","Dubai Mall","Downtown Dubai","1","1","","MAG EYE Phase 1"
"102-62551-2023","2023-11-24 12:52:10","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MBR DISTRICT 7","Unit","Flat","720300","36.86","36.86","Studio","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","MAG EYE Phase 1"
"102-62579-2023","2023-11-24 11:57:17","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","SOBHA HEARTLAND","Unit","Flat","1765000","97.48","97.48","2 B/R","1","","","","1","1","","Sobha Hartland - The Crest"
"102-62581-2023","2023-11-24 11:58:53","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","THE FIELD","Building","Villa","4150000","187.2","187.2","4 B/R","","","","IMG World Adventures","1","2","","THE FIELDS AT D11 - MBRMC"
"102-62584-2023","2023-11-24 12:10:01","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Wadi Al Safa 5","Building","Villa","2095100","162.18","162.18","3 B/R","","","","","1","1","","Arabian Ranches lll - Raya"
"102-62587-2023","2023-11-24 12:01:59","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI STUDIO CITY","Unit","Flat","454000","34.54","34.54","Studio","1","Sharaf Dg Metro Station","","Motor City","1","1","","LAYA HEIGHTS"
"102-62589-2023","2023-11-27 10:54:55","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yufrah 1","Building","Villa","2281888","305.89","305.89","4 B/R","","","","","1","1","","The Valley - Elora"
"102-62592-2023","2023-11-24 12:13:54","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","PALM JUMEIRAH","Unit","Hotel Apartment","970000","32.8","32.8","Studio","1","Palm Jumeirah","Marina Mall","Burj Al Arab","1","1","","Seven Hotel and Apartments The Palm"
"102-62593-2023","2023-11-27 10:29:43","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","SOBHA HEARTLAND","Unit","Flat","990000","48.09","48.09","1 B/R","1","","","","1","1","","Sobha Hartland - The Crest"
"102-62595-2023","2023-11-24 11:55:20","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Dubai Almelaheyah","Unit","Flat","2292888","126.64","126.64","2 B/R","1","","","","3","1","","Clearpoint"
"102-62596-2023","2023-11-24 12:48:27","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MBR DISTRICT 7","Unit","Flat","1050000","69.88","69.88","1 B/R","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","MAG EYE Phase 1"
"102-62597-2023","2023-11-24 12:44:59","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MBR DISTRICT 7","Building","Villa","2600000","105.04","105.04","2 B/R","","","","","1","1","","MAG EYE Phase 1"
