Transaction Number,Transaction Date,Transaction Type,Transaction sub type,Registration type,Is Free Hold?,Usage,Area,Property Type,Property Sub Type,Amount,Transaction Size (sq.m),Property Size (sq.m),Room(s),Parking,Nearest Metro,Nearest Mall,Nearest Landmark,No. of Buyer,No. of Seller,Master Project,Project
"102-36851-2023","2023-08-02 19:35:13","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Dubai Almelaheyah","Unit","Flat","1512888","77.47","77.47","1 B/R","1","","","","1","1","","Sunridge"
"102-36852-2023","2023-08-02 19:36:04","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","SOBHA HEARTLAND","Unit","Flat","2992764","150.29","150.29","3 B/R","2","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Sobha Hartland - Crest Grande"
"102-36853-2023","2023-08-02 19:38:12","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","SOBHA HEARTLAND","Unit","Flat","1354700","68.03","68.03","1 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Sobha Hartland - Crest Grande"
"102-36854-2023","2023-08-02 19:38:58","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","6066060","134.18","134.18","2 B/R","","","","","1","1","","Sobha Seahaven Tower A"
"102-36855-2023","2023-08-02 19:39:45","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Dubai Almelaheyah","Unit","Flat","2339888","120.39","120.39","2 B/R","1","","","","1","1","","Sunridge"
"102-36856-2023","2023-08-02 19:40:22","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","4313790","102.76","102.76","1 B/R","","","","","1","1","","Sobha Seahaven Tower A"
"102-36857-2023","2023-08-02 19:54:46","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","SOBHA HEARTLAND","Unit","Flat","2907612","150.07","150.07","2 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Sobha Hartland Waves Opulence"
"102-36858-2023","2023-08-02 19:56:13","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Madinat Dubai Almelaheyah","Unit","Flat","2339888","120.23","120.23","2 B/R","1","","","","1","1","","Sunridge"
"102-36859-2023","2023-08-02 19:57:02","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI HEALTHCARE CITY - PHASE 2","Unit","Flat","4350000","125","125","2 B/R","1","Creek Metro Station","Dubai Mall","Downtown Dubai","2","1","","Kempinski Residences The Creek"
"102-36860-2023","2023-08-02 19:57:45","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI HEALTHCARE CITY - PHASE 2","Unit","Flat","5150000","120.8","120.8","2 B/R","1","Creek Metro Station","Dubai Mall","Downtown Dubai","1","1","","Kempinski Residences The Creek"
"102-36861-2023","2023-08-02 21:30:31","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI STUDIO CITY","Unit","Flat","725000","38.58","38.58","Studio","1","","","Motor City","1","1","","Samana Mykonos"
"102-36862-2023","2023-08-02 21:54:55","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yelayiss 2","Unit","Flat","2150888","217.92","217.92","3 B/R","2","","","","2","1","","HOLLAND GARDENS "
"102-36863-2023","2023-08-02 23:16:42","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI CREEK HARBOUR","Unit","Flat","3085888","105.55","105.55","2 B/R","1","Creek Metro Station","City Centre Mirdif","Dubai International Airport","1","1","","Creek Waters 2"
