Transaction Number,Transaction Date,Transaction Type,Transaction sub type,Registration type,Is Free Hold?,Usage,Area,Property Type,Property Sub Type,Amount,Transaction Size (sq.m),Property Size (sq.m),Room(s),Parking,Nearest Metro,Nearest Mall,Nearest Landmark,No. of Buyer,No. of Seller,Master Project,Project
"102-29540-2023","2023-06-19 15:38:52","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yelayiss 2","Unit","Flat","1106888","103.91","103.91","2 B/R","1","","","","1","1","","HOLLAND GARDENS "
"102-29541-2023","2023-06-19 15:39:02","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Um Suqaim Third","Unit","Flat","2438000","74.42","74.42","1 B/R","1","","","","2","1","","Jomana"
"102-29542-2023","2023-06-19 15:40:57","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","AL FURJAN","Unit","Flat","2088247","192.89","192.89","3 B/R","2","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Sports City Swimming Academy","2","1","","AVENUE RESIDENCE 4"
"102-29544-2023","2023-06-19 15:46:57","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","643000","63.17","63.17","1 B/R","1","Dubai Internet City","Marina Mall","Sports City Swimming Academy","1","1","","Binghatti Emerald"
"102-29545-2023","2023-06-19 15:47:07","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Um Suqaim Third","Unit","Flat","2638000","81.58","81.58","1 B/R","1","","","","1","1","","Jomana"
"102-29546-2023","2023-06-19 15:47:23","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI LAND RESIDENCE COMPLEX","Unit","Flat","454845","49.14","49.14","Studio","1","","","IMG World Adventures","0","1","","AG SQUARE"
"102-29547-2023","2023-06-19 23:57:27","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","3529000","77.07","77.07","1 B/R","1","","","","1","1","","DAMAC BAY"
"102-29548-2023","2023-06-19 23:59:41","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yelayiss 2","Unit","Flat","1135888","104.19","104.19","2 B/R","1","","","","1","1","","HOLLAND GARDENS "
"102-29549-2023","2023-06-20 00:00:01","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Um Suqaim Third","Unit","Flat","1950000","74.21","74.21","1 B/R","1","","","","1","1","","Jomana"
"102-29550-2023","2023-06-20 00:00:20","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Marsa Dubai","Unit","Flat","3558000","77.67","77.67","1 B/R","1","","","","1","1","","DAMAC BAY"
"102-29551-2023","2023-06-20 00:01:16","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yelayiss 2","Unit","Flat","1150888","100.34","100.34","2 B/R","1","","","","1","1","","HOLLAND GARDENS "
