Transaction Number,Transaction Date,Transaction Type,Transaction sub type,Registration type,Is Free Hold?,Usage,Area,Property Type,Property Sub Type,Amount,Transaction Size (sq.m),Property Size (sq.m),Room(s),Parking,Nearest Metro,Nearest Mall,Nearest Landmark,No. of Buyer,No. of Seller,Master Project,Project
"102-43999-2023","2023-09-15 14:02:20","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Hebiah Sixth","Building","Villa","2396000","169.07","169.07","3 B/R","","","","","1","1","","Mudon Al Ranim 5"
"102-46901-2023","2023-09-18 09:36:27","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","PALM JUMEIRAH","Unit","Flat","13406330","211.1","211.1","3 B/R","2","","","","1","1","","SLS RESIDENCES AT PALM JUMEIRAH"
"102-46903-2023","2023-09-15 16:39:03","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","1509000","81.03","81.03","1 B/R","1","Damac Properties","Marina Mall","Sports City Swimming Academy","1","1","","Fashionz 1 By Danube"
"102-47324-2023","2023-09-18 10:55:51","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Wasl","Unit","Flat","3225000","112.53","112.53","2 B/R","1","","","","2","1","","Thyme"
"102-47326-2023","2023-09-18 10:44:03","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Wasl","Unit","Flat","6619000","187.48","187.48","3 B/R","2","","","","1","1","","Thyme"
"102-47602-2023","2023-09-18 10:38:55","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Wasl","Unit","Flat","3376000","119.64","119.64","2 B/R","1","","","","1","1","","Thyme"
"102-47618-2023","2023-09-18 12:19:43","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","2020387","75.2","75.2","2 B/R","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","AYKON CITY 2"
"102-47634-2023","2023-09-18 10:51:32","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Wasl","Unit","Flat","3370000","121.59","121.59","2 B/R","1","","","","2","1","","Thyme"
"102-47635-2023","2023-09-18 10:49:57","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Wasl","Unit","Flat","2138000","77.63","77.63","1 B/R","1","","","","2","1","","Thyme"
"102-47966-2023","2023-09-15 11:51:44","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MBR DISTRICT 1","Unit","Flat","2650000","107.79","107.79","2 B/R","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","Mohammed Bin Rashid Al Maktoum City , District One Phase III  , Residences 6"
"102-47974-2023","2023-09-15 11:48:16","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","AL FURJAN","Unit","Hotel Apartment","400000","34.77","35.05","Studio","B2-06","Ibn Battuta Metro Station","Ibn-e-Battuta Mall","Expo 2020 Site","2","1","","Azizi Berton"
"102-47977-2023","2023-09-18 09:44:07","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","950000","68.21","68.21","1 B/R","1","Dubai Internet City","Mall of the Emirates","Sports City Swimming Academy","2","1","","Elitz By Danube "
"102-47983-2023","2023-09-18 09:11:47","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI HARBOUR","Unit","Flat","4550000","125.49","125.49","2 B/R","1","","","","1","1","","Address The Bay"
"102-47992-2023","2023-09-18 10:55:45","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","VILLANOVA","Building","Villa","2346372","362.75","362.75","4 B/R","","","","IMG World Adventures","1","1","","La Rosa Phase 2"
"102-48005-2023","2023-09-15 13:01:41","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Hotel Apartment","883048.05","54.33","54.33","1 B/R","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","1","1","","Tranquil Wellness Tower"
"102-48008-2023","2023-09-15 15:09:38","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","MEYDAN ONE","Unit","Flat","721208.41","43.98","43.98","1 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Azizi Riviera 28"
"102-48011-2023","2023-09-15 15:48:36","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","SOBHA HEARTLAND","Unit","Flat","2629030","126.88","126.88","2 B/R","1","","","","1","1","","Sobha Hartland - The Crest"
"102-48014-2023","2023-09-17 23:38:22","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Yufrah 1","Building","Villa","2932888","369.97","369.97","3 B/R","","","","","3","1","","The Valley - Rivana"
"102-48015-2023","2023-09-17 23:26:09","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","PALM JUMEIRAH","Building","Villa","70000000","1700.68","1700.68","6 B/R","","Jumeirah Beach Resdency","Marina Mall","Burj Al Arab","1","1","","EOME"
"102-48016-2023","2023-09-18 10:46:54","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Wasl","Unit","Flat","3105000","110.56","110.56","2 B/R","1","","","","3","1","","Thyme"
"102-48017-2023","2023-09-18 10:45:45","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Wasl","Unit","Flat","6508000","193.86","193.86","3 B/R","2","","","","1","1","","Thyme"
"102-48018-2023","2023-09-18 10:44:54","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","Al Wasl","Unit","Flat","2128000","71.3","71.3","1 B/R","1","","","","2","1","","Thyme"
"102-48023-2023","2023-09-18 06:04:20","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE TRIANGLE","Unit","Flat","1718920","100.13","100.13","2 B/R","2","Damac Properties","Marina Mall","Sports City Swimming Academy","2","1","","Fashionz 1 By Danube"
"102-48024-2023","2023-09-18 06:14:15","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI MARITIME CITY","Unit","Flat","2722000","110.67","110.67","2 B/R","1","Al Ghubaiba Metro Station","Dubai Mall","Burj Khalifa","2","1","","HARBOUR LIGHTS"
"102-48025-2023","2023-09-18 06:18:38","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","SOBHA HEARTLAND","Unit","Flat","1354700","68.03","68.03","1 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Sobha Hartland - Crest Grande"
"102-48026-2023","2023-09-18 06:20:29","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","SOBHA HEARTLAND","Unit","Flat","2515630","126.33","126.33","2 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Sobha Hartland - Crest Grande"
"102-48027-2023","2023-09-18 06:22:12","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","SOBHA HEARTLAND","Unit","Flat","2296852","118.91","118.91","2 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Sobha Hartland - Crest Grande"
"102-48028-2023","2023-09-18 06:27:29","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","DUBAI MARITIME CITY","Unit","Flat","2758000","110.66","110.66","2 B/R","1","Al Ghubaiba Metro Station","Dubai Mall","Burj Khalifa","2","1","","HARBOUR LIGHTS"
"102-48029-2023","2023-09-18 06:29:35","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","JUMEIRAH VILLAGE CIRCLE","Unit","Flat","1065666","74.77","74.77","1 B/R","1","Nakheel Metro Station","Marina Mall","Sports City Swimming Academy","1","1","","Luma Park Views"
"102-48030-2023","2023-09-18 06:31:00","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","SOBHA HEARTLAND","Unit","Flat","1354700","68.03","68.03","1 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Sobha Hartland - Crest Grande"
"102-48031-2023","2023-09-18 06:32:44","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","SOBHA HEARTLAND","Unit","Flat","2722331","136.8","136.8","2 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Sobha Hartland - Crest Grande"
"102-48032-2023","2023-09-18 06:36:33","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","SOBHA HEARTLAND","Unit","Flat","2536841","129.14","129.14","2 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Sobha Hartland - Crest Grande"
"102-48033-2023","2023-09-18 06:38:11","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","SOBHA HEARTLAND","Unit","Flat","2536841","129.14","129.14","2 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Sobha Hartland - Crest Grande"
"102-48034-2023","2023-09-18 06:41:34","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","SOBHA HEARTLAND","Unit","Flat","4106297","206.21","206.21","4 B/R","2","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Sobha Hartland - Crest Grande"
"102-48035-2023","2023-09-18 06:43:26","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","SOBHA HEARTLAND","Unit","Flat","2464663","123.77","123.77","2 B/R","1","Buj Khalifa Dubai Mall Metro Station","Dubai Mall","Downtown Dubai","1","1","","Sobha Hartland - Crest Grande"
"102-48036-2023","2023-09-18 06:47:38","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","2307690","77.33","77.33","1 B/R","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","CANAL HEIGHTS 2"
"102-48037-2023","2023-09-18 07:29:03","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1314000","43.73","43.73","Studio","1","","","","2","1","","CANAL HEIGHTS"
"102-48038-2023","2023-09-18 07:25:50","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1296000","42.75","42.75","Studio","1","","","","3","1","","CANAL HEIGHTS"
"102-48039-2023","2023-09-18 07:21:23","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","2585240","112.16","112.16","2 B/R","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","2","1","","AYKON CITY 3"
"102-48040-2023","2023-09-18 07:18:36","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","2401000","80.37","80.37","1 B/R","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","CANAL HEIGHTS 2"
"102-48041-2023","2023-09-18 07:17:11","Sales","Sell - Pre registration","Off-Plan","Free Hold","Residential","BUSINESS BAY","Unit","Flat","1780000","58.96","58.96","1 B/R","1","Business Bay Metro Station","Dubai Mall","Downtown Dubai","1","1","","CANAL HEIGHTS 2"
